symbol,CVSAId,category,market,currency,settlPeriod,lotSize,minimumSize,block,isin,instrumentStatus,issuer,securityDescription,tickPriceId
AGROD,19,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,300.00000,0,ARAGRO010015,0,0168-AGROMETAL S.A.I.,AGROMETAL,Tick_Acciones
AGROD,19,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,300.00000,0,ARAGRO010015,0,0168-AGROMETAL S.A.I.,AGROMETAL,Tick_Acciones
LOMAC,30043,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARLOMA300018,0,0540-LOMA NEGRA S.A.,ACC.ORD. LOMA NEGRA S.A. 1 VOT,Tick_Acciones_Lider_CEDEAR
LOMAC,30043,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARLOMA300018,0,0540-LOMA NEGRA S.A.,ACC.ORD. LOMA NEGRA S.A. 1 VOT,Tick_Acciones_Lider_CEDEAR
LOMA,30043,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARLOMA300018,0,0540-LOMA NEGRA S.A.,ACC.ORD. LOMA NEGRA S.A. 1 VOT,Tick_Acciones_Lider_CEDEAR
RICH,30045,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,10.00000,0,ARLRIC300027,0,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
RICH,30045,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,10.00000,0,ARLRIC300027,0,4349-LABORATORIOS RICHMON,ACC.ORD.LABOR.RICHMOND C.B 1V.,Tick_Acciones
CVHD,30042,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,3.00000,0,ARCABH300011,0,5189-CABLEVISION HOLDING,ACC.ORD.CABLEVISION HOLDING CL,Tick_Acciones
CVHD,30042,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,3.00000,0,ARCABH300011,2,5189-CABLEVISION HOLDING,ACC.ORD.CABLEVISION HOLDING CL,Tick_Acciones
CVHC,30042,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,3.00000,0,ARCABH300011,0,5189-CABLEVISION HOLDING,ACC.ORD.CABLEVISION HOLDING CL,Tick_Acciones
CVHC,30042,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,3.00000,0,ARCABH300011,0,5189-CABLEVISION HOLDING,ACC.ORD.CABLEVISION HOLDING CL,Tick_Acciones
TRANC,849,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARTRAN010011,2,0558-TRANSENER S.A. CIA.,CIA.TRANSP.EN.ELEC.EN ALTA T.O,Tick_Acciones_Lider_CEDEAR
TRANC,849,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARTRAN010011,2,0558-TRANSENER S.A. CIA.,CIA.TRANSP.EN.ELEC.EN ALTA T.O,Tick_Acciones_Lider_CEDEAR
BYMAC,30038,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
BYMAC,30038,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
